"SBOM name"	"SBOM id"	"package name"	"package group"	"package version"	"package purl"	"package cpe"	"license"	"license type"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"alsa-lib"	""	"1.2.5-4.el8"	"pkg:rpm/redhat/alsa-lib@1.2.5-4.el8?arch=x86_64&distro=rhel-8.5&upstream=alsa-lib-1.2.5-4.el8.src.rpm"	""	"LGPLv2+"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"aopalliance"	""	"1.0-20.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/aopalliance@1.0-20.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&upstream=aopalliance-1.0-20.module+el8.3.0+6804+157bd82e.src.rpm"	""	"Public Domain"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"apache-commons-cli"	""	"1.4-7.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/apache-commons-cli@1.4-7.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&upstream=apache-commons-cli-1.4-7.module+el8.3.0+6804+157bd82e.src.rpm"	""	"ASL 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"apache-commons-codec"	""	"1.13-3.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/apache-commons-codec@1.13-3.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&upstream=apache-commons-codec-1.13-3.module+el8.3.0+6804+157bd82e.src.rpm"	""	"ASL 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"apache-commons-io"	""	"1:2.6-6.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/apache-commons-io@2.6-6.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&epoch=1&upstream=apache-commons-io-2.6-6.module+el8.3.0+6804+157bd82e.src.rpm"	""	"ASL 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"apache-commons-lang3"	""	"3.9-4.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/apache-commons-lang3@3.9-4.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&upstream=apache-commons-lang3-3.9-4.module+el8.3.0+6804+157bd82e.src.rpm"	""	"ASL 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"asyncutil"	"com.ibm.async"	"0.1.0"	"pkg:maven/com.ibm.async/asyncutil@0.1.0"	""	"The Apache Software License, Version 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"atinject"	""	"1-31.20100611svn86.module+el8.3.0+6804+157bd82e"	"pkg:rpm/redhat/atinject@1-31.20100611svn86.module+el8.3.0+6804+157bd82e?arch=noarch&distro=rhel-8.5&upstream=atinject-1-31.20100611svn86.module+el8.3.0+6804+157bd82e.src.rpm"	""	"ASL 2.0"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"audit-libs"	""	"3.0-0.17.20191104git1c2f876.el8"	"pkg:rpm/redhat/audit-libs@3.0-0.17.20191104git1c2f876.el8?arch=x86_64&distro=rhel-8.5&upstream=audit-3.0-0.17.20191104git1c2f876.el8.src.rpm"	""	"LGPLv2+"	"Declared"
"quay-v9q9c.apps.cluster-v9q9c.dynamic.redhatworkshops.io/l3-students/l3-rhads-demoimage"	"urn:uuid:b07b2af6-9a7a-420f-b442-7ec5cfcbc0e6/1"	"avahi-libs"	""	"0.7-20.el8"	"pkg:rpm/redhat/avahi-libs@0.7-20.el8?arch=x86_64&distro=rhel-8.5&upstream=avahi-0.7-20.el8.src.rpm"	""	"LGPLv2+"	"Declared"
